,"neutral,""According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing ."""
2612,"neutral,The continued operations mean the structure after the restructuring of the Aspocomp group including Aspocomp Oulu and the headquarter operations ."
2613,"neutral,""The contract covers turnkey deliveries to all five airports operated by the authority -- John F Kennedy , LaGuardia , Newark , Teterboro and Stewart International ."""
2614,"neutral,The contract includes heating plant equipment and associated installation work ."
2615,"neutral,The contract involves refurbishing the bathrooms of 189 units as well as re-plumbing their water and sewer pipes ."
2616,"neutral,The contracts comprise turnkey orders for RoRo systems for two RoRo-cruise vessels under construction for Viking Line and Tallink ."
2617,"neutral,""The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 , the statement says ."""
2618,"neutral,The cranes would be installed onboard two freighters ordered by Singaporean ship owner Masterbulk ."
2619,"neutral,The customers will have an access to integrated propeller and gear packages from one source ."
2620,"neutral,The deal is subject to approval by the Norwegian competition authorities ."
2621,"neutral,The deal means that ten persons in three countries will transfer to Tieto ."
2622,"neutral,The deal will have no significant effect on the acquiring company 's equity ratio ."
2623,"neutral,The deliveries are scheduled for the summer and autumn of 2008 ."
2624,"neutral,""The development of the technological park , which will specialize in telecommunications and information technologies , is part of the state program for the formation of technoparks for hi-tech sectors in Russia ."""
2625,"neutral,""The e-commerce site and flagship will be managed by Marimekko North America Retail LLC , a subsidiary established in the U.S. last year ."""
2626,"neutral,""The final price will be specified by 14 May 2010 , the acquiring company said ."""
2627,"neutral,""The Finland-based company says it will move into an existing 260,000-square-foot facility in September ."""
2628,"neutral,""The Finnish business delegation includes representatives from over 20 companies that include Nokia Corp , Finnfund , Outokumpu Oyj , OKO Bank , Alteams Oy and Cargotec Corp. ."""
2629,"neutral,""The Finnish company is building a 800,000 mt-year biodiesel plant in Singapore ."""
2630,"neutral,""The firm 's UK head office is in Rugby Road , Lutterworth ."""
2631,"neutral,The first group of customers to be trained will be paint-shop owners and their assistants ."
2632,"neutral,The first stage of the contract covers 133 stores and 600 cash registers ."
2633,"neutral,""The fish content of the nuggets is 85 % , and the fish comes from Canada and Finland ."""
2634,"neutral,The following information was released by Comptel : Tomorrow the Chairman of the Federal Communications Commission is scheduled to deliver the National Broadband Plan to Congress ."
2635,"neutral,The front surfaces of these valve plates are directed towards each other ."
2636,"neutral,The ground barleycorn has been fully produced in Finland and will be available in stores as of the beginning of 2010 ."
2637,"neutral,The implementation of the deal is subject to the approval by the Finnish Competition Authority ."
2638,"neutral,""The inaugural speech will be given by Hannu Kyrolainen , Finland 's Ambassador to the Czech Republic ."""
2639,"neutral,The increase range will vary up to 10 % ."
2640,"neutral,The initial estimated total value was 1744900 EUR and the final award value was 1744900 EUR ."
2641,"neutral,""The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file , with about 40 million returns filed in April ."""
2642,"neutral,""The latest date for registration is on 4 April , 2006 ."""
2643,"negative,The lay-offs will affect 240 people out of the total 320 Okmetic employees in Finland ."
2644,"neutral,The Line 4 will run fully underground and will comprise 10 stations which will be executed in two implementation stages ."
2645,"negative,The majority of the company 's personnel in Finland is temporarily laid off from one to six weeks in the period from February to June 2009 period ."
2646,"neutral,""The mall will be financed on a parity basis by Pearl Plaza LLC , the joint venture company established by the Chinese investor Shanghai Industrial Investment Holdings Co Ltd , and SRV Group ."""
2647,"neutral,""The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,000 ."""
2648,"neutral,The maximum number of new shares to be offered is 22 million ."
2649,"neutral,The measures taken will cause one-time costs during the final part of 2006 ."
2650,"neutral,""The mill will have capacity to produce 500,000 tonnes of pulp per year ."""
2651,"neutral,""The money will be spread mainly over 2011 and 2012 , the company said ."""
2652,"neutral,""The natural source of isoprene is the tree species Hevea brasiliensis , also known as the rubber tree ."""
2653,"neutral,The new activity will incur an investment of about 5 MEUR ."
2654,"neutral,""The new company will likely hold an IPO on the NYSE or another international stock exchange , according to Altimo which manages the Alfa Group 's telecommunications assets and TeliaSonera 's agreement , which has been published on the website of the U.S. Securities and Exchange Commission ."""
2655,"neutral,""The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. ."""
2656,"neutral,The new organization consists of two business units : Charging & Messaging and Finance & Administration ."
2657,"neutral,The new SEPA cads will replace Finnish bank cards ."
2658,"neutral,""The order comprises all production lines for a plywood mill , company said in a statement received by Lesprom Network ."""
2659,"neutral,""The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine ."""
2660,"neutral,""The order includes a new Crecent former , headbox , and reel ."""
2661,"neutral,The output of the contracts totals 72 MWe ."
2662,"neutral,""The parties have agreed not to disclose the price of the deal , the group said in a press release ."""
2663,"neutral,The parties have agreed not to disclose the transaction value ."
2664,"neutral,""The payment date is March 25 , 2010 ."""
2665,"neutral,The plans will result in the introduction of new and highly specialized manufacturing methods and also entail changes to personnel at the facility ."
2666,"neutral,""The platform is based built on Intel s second-generation MID platform , called Moorestown ."""
2667,"neutral,""The price of the 10,000 kroon par value bonds was 9663,51 kroons in the primary issue ."""
2668,"neutral,The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting ."
2669,"neutral,The purchase sum is about EUR 10mn US$ 12.97 mn ."
2670,"neutral,""The recruitment is related to the relocation of Stora Enso 's research operations to Karlstad , central Sweden ."""
2671,"neutral,The Remote Radio head module will be available at 4W power for 2.5 GHz and 3.5 GHz TDD frequency bands ."
2672,"neutral,""The report examines the medical equipment business structure and operations , history and products , and provides an analysis of its key medical equipment revenue lines ."""
2673,"neutral,The restructuring measures will not affect the production of packaging printing material ."
2674,"neutral,""The sale , comprising the margarine business in Finland and Poland , follows the approval of the Polish competition authorities earlier in October ."""
2675,"neutral,""The sale of Savcor FACE to Cencorp will result in a profit or loss which can not yet be determined , owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates ."""
2676,"neutral,""The sale will be finalized in September or October , the company said ."""
2677,"neutral,""The share capital of Alma Media Corporation business ID 1944757-4 is EUR 44,767,513.80 and it is divided into 74,612,523 shares ."""
2678,"neutral,""The shares subscribed for under the stock options were registered in the Trade Register on 20 January 2011 , as of which date the new shares will establish shareholder rights ."""
2679,"neutral,""The ship cranes , which will be manufactured by MacGREGOR 's partner plants in China , will be delivered between 2008-2010 for vessels ordered by Chinese COSCO , German Peter Dohle and Hong Kong based Cido Shipping ."""
2680,"neutral,The ship unloader is totally enclosed along the entire conveying line to the storage facilities ."
2681,"neutral,The site will cover over six hectares ."
2682,"neutral,""The study was not designed to enable formal statistical evaluation of therapeutic activity , the company said ."""
2683,"neutral,The transaction will take place without payment of merger consideration ."
2684,"neutral,The unit is planned to be operational during the second half of 2007 and in full stream in 2008 ."
